German,English
brauchen,to need
Weil,because
Kinder,children
unter,under
Arbeit,work
Für,for
Problem,problem
dafür,therefore
Herr,mr. 
Haben,to have
wegen,because of
geht's,is it possible
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,her
ne,ne
gegen,versus
Weißt,white
Sag,say
schnell,fast
nun,well
eines,one
brauche,need
Abend,evening
hatten,had
Jahre,years
Mach,make
Bruder,brothers
Sache,matter
hören,listen
komm,come over
Sohn,son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,ok
Willst,want
Kopf,head
Hilfe,help
Familie,family
Geh,walk
Baby,infant
Dich,you
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,morning
sprechen,speak
Mir,me
sofort,right away
Kann,can
Hat,has
Jahren,years
Kind,child
seinen,his
Genau,i agree
daran,to it
Junge,young
Minuten,minute
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,beings
Recht,right
glauben,believe
Warte,wait
darüber,about that
deiner,yours
deinem,yours
Ende,end
He,hey
Dinge,things
Namen,names
wahr,true
Alle,all
allein,alone
Natürlich,naturally
töten,kill
Nichts,nothing
Wirklich,for real
bekommen,to get
Männer,men
vergessen,forget
Doch,after all
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,wait
Glück,happiness                                                                                           
beide,both
gute,quality
Dein,your
kennen,know
Deine,your
n,n
Hi,hi
Dr,dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,to you
mache,make
Von,from
Uhr,watch
sehe,see
Teufel,devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,every
könnten,might
ihren,their
Halt,stop
Fall,case
Dad,dad
Film,movie
bisschen,little
eigentlich,actually
weit,far
mach,make
Gib,give
vorbei,over
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,yet
dran,your turn
Sieh,see
lieber,dear
Den,the
leben,life
Guten,good
Um,around
darauf,thereon
Kein,no
stimmt,right
Kerl,guy
letzte,latest
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,great
Bis,until
Verdammt,damn it
bald,soon
bereit,ready
all,alles
jemanden,someone
hinter,behind
Schon,nice
Sehr,very
Hand,hand
darf,allowed
Dieser,this
Frauen,women
Euch,you
Idee,idea
runter,down
Macht,power
draußen,outside
lang,long
Land,country
lass,let
Typ,type
hätten,have
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,ok
Gute,quality
gekommen,came
Bei,at
etwa,about
essen,meal
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,to play
Geschichte,story
seinem,his
liegt,lies
sah,saw
Mom,mom
Seite,page
wenig,little
ruhig,quiet
Frage,question
meinst,mean
überhaupt,at all
fahren,to go
Ganz,all
Gehen,go
Essen,meal
Ruhe,quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,comes
Einen,a
ging,went
Jahr,year
braucht,needs
fast,nearly
neue,new
geh,walk
ziemlich,pretty much
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,death
Ort,location
Chance,chance
bedeutet,means
War,was
sag,say
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,things
Wahrheit,truth
einzige,single
kurz,short
denen,whom
Kommen,come
Spaß,fun
Nach,after
oben,above
Mama,mummy
schwer,difficult
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,definitely
treffen,meet
niemand,nobody
Woche,week
Entschuldigung,excuse
Sorgen,to care
warte,wait
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,to understand
hoffe,hope
Ah,ah
Sei,be
Zimmer,room
hoch,high
unserer,ours
Tage,days
Teil,part
Wann,when
suchen,search
verlassen,leaving
zeigen,show
wollten,wanted to
lässt,leaves
Wort,word
eins,one
zwischen,in between
Woher,where from
Schatz,treasure
Wissen,knowledge
versuchen,attempt
Können,be able
Kannst,can
nett,kind
Zu,to
kriegen,get
Geht,goes
Arsch,ass
kleinen,small
Hab,have
weiss,white
erste,first
läuft,running
kommst,come
Freundin,girlfriend
Mensch,person
beiden,both
Ding,thing
niemals,no way
endlich,finally
Nimm,take
muß,must
gehst,walking
Heute,today
denkst,thinking
Herz,heart
Waffe,weapon
Soll,intended to
tust,tust
Dollar,dollar
nehme,take
Schau,show
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,no one
unten,below
Wagen,car
Yeah,yeah
Schön,nice
wichtig,important
Mrs,mrs
hättest,would have
allen,all
Miss,miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,would
erzählen,tell
bleibt,remains
Auch,also
Hände,hands
Blut,blood
Sehen,see
bloß,just
recht,law
bringt,brings
Bett,bed
Lassen,to let
Eltern,parents
gefällt,like
Schuld,fault
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,clear
retten,rescue
guter,goods
während,during
ihrem,hers
wären,be
Fehler,mistake
scheint,appears
Lasst,leaves
gegeben,given
An,on
hör,listening
glücklich,happy
verdammt,damn it
alt,old
Platz,place
darum,therefore
Vielen,many
falsch,not correct
unseren,ours
schlafen,sleep
Sagen,to say
nächsten,next
fünf,five
frei,free
Sorge,worries
Vor,before
fest,celebration
bereits,already
alleine,alone
Denn,then
Zwei,two
Fragen,questions
möglich,possible
irgendwie,somehow
Papa,father
lernen,to learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,is correct
Menge,quantity
keiner,none
brauchst,needs
Typen,guy
Dass,that
Stunde,hour
Szene,scene
Hölle,hell
einige,some
Deshalb,therefore
geworden,become
Telefon,phone
Darf,allowed
Feuer,fire
Wollen,want
Bin,am
Alter,age
Captain,captain
Aus,out
Dieses,this
Probleme,problems
Jeder,everyone
verstanden,understood
wann,when
alten,old
gibt's,is there
sondern,but
guten,good
zwar,that is
eigenen,own
New,new
Körper,body
hört,hear
Zum,to the
gebe,gift
Kumpel,dude
Hund,dog
nochmal,again
hab's,got it
früh,early
Hören,listen
trinken,to drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,air
Jemand,someone
dürfen,allowed to
Meister,master
Erde,earth
Seit,since
Sicher,secure
Hört,hear
Zukunft,future
kaum,barely
funktioniert,is working
voll,fully
Bleib,stay
reicht,suffices
weh,sore
stellen,place
Siehst,see
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,lose
Wochen,weeks
Damit,with it
Stück,piece
lieben,love
allem,all
getroffen,met
äh,ah
Am,at the
geschafft,done
tue,do
gefallen,please
Tja,well
Boss,boss
überall,all over
Sieht,sees
passieren,happen
lustig,fun
Licht,light
gebracht,brought
nennen,to name
Folge,consequence
Gefühl,feeling
völlig,fully
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,correct
wieso,how come
Leuten,people
Buch,a book
laufen,to run
spielt,plays
früher,previously
Sein,his
krank,ill
gegangen,went
fand,found
Seine,his
Pass,passport
fühle,feel
Himmel,heaven
froh,joyful
leicht,easy
direkt,direct
langsam,slow
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,a lot of
beste,best
welche,which
genommen,taken
Arzt,physician
unserem,ours
Idiot,idiot
Machen,do
glaubst,believe
jede,every
Ohne,without
groß,big
hattest,hate
Äh,ah
Jungen,boys
Rest,rest
Unsere,our
versuche,tries
Tagen,days
nächste,next
Entschuldigen,excuse
Doktor,doctor
spricht,speaks
könnt,can
hält,holds
Team,team
Verstanden,understood
kämpfen,battle
heiraten,to marry
könntest,might
Wow,wow
Etwas,some
Straße,street
Mist,damn
König,king
redest,speech
kleines,small
lebt,lives
erklären,to explain
worden,gone
Millionen,millions
Wiedersehen,reunite
Onkel,uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,things
trotzdem,despite it
Ihren,their
kaufen,to buy
Liste,list
ändern,to change
Kampf,battle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,floor
Wohin,where
machte,made
Party,party
gefragt,asked
Seht,look
irgendwo,somewhere
kümmern,to take care of
kennt,knows
verletzt,hurt
Habt,have
Nachricht,news
Willkommen,welcome
vielen,many
hart,hard
lasse,let
total,total
Gefängnis,prison
außer,apart from
Sicherheit,security
Schnell,fast
wem,whom
ehrlich,honestly
interessiert,interested
Sex,sex
sagten,said
ziehen,draw
Welche,which
Unser,our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,class
Bild,picture
stark,strong
Dies,this
Eure,your
zehn,ten
Sinn,sense
vorstellen,imagine
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,thorough
gestorben,died
Tages,day
war's,was it
verschwinden,disappear
Kraft,power
gesprochen,spoken
heraus,out
genauso,just like that
wärst,be
Eins,one
damals,back then
heißen,mean
Liebling,darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,give
Entschuldige,excuse me
Vergiss,forgetful
rede,speech
führen,to lead
Bewegung,movement
höre,listen
Sonst,otherwise
Geschäft,business
werdet,become
konnten,could
wartet,waiting
Raus,out
zahlen,to count
